roi,cell_id,leiden_cluster,umap_1,umap_2,n_genes,total_counts,cell_type
Sample_007_Region,21436-sample_1_lv_0046706_007,12,13.020677,7.2147865,0,195,F1
Sample_007_Region,21437-sample_1_lv_0046706_007,20,16.663385,14.443746,0,175,Mono_mac
Sample_007_Region,21438-sample_1_lv_0046706_007,5,12.669036,4.9795074,0,657,F1
Sample_007_Region,21439-sample_1_lv_0046706_007,12,13.077784,7.7875366,0,247,Mono_mac
Sample_007_Region,21440-sample_1_lv_0046706_007,3,6.596305,4.884464,0,246,F1
Sample_007_Region,21441-sample_1_lv_0046706_007,2,12.409244,7.144609,0,293,F1
Sample_007_Region,21442-sample_1_lv_0046706_007,7,15.064757,11.308965,0,541,F3
Sample_007_Region,21443-sample_1_lv_0046706_007,32,1.6682361,11.29144,0,428,Undifferentiated_KC
Sample_007_Region,21444-sample_1_lv_0046706_007,7,15.400955,12.745131,0,190,Undifferentiated_KC
Sample_007_Region,21445-sample_1_lv_0046706_007,14,10.945884,3.9627352,0,204,F3
Sample_007_Region,21446-sample_1_lv_0046706_007,4,15.23475,7.455572,0,279,Undifferentiated_KC
Sample_007_Region,21447-sample_1_lv_0046706_007,31,10.23471,-1.2189466,0,554,Undifferentiated_KC
Sample_007_Region,21448-sample_1_lv_0046706_007,6,13.936398,15.46115,0,208,Undifferentiated_KC
Sample_007_Region,21449-sample_1_lv_0046706_007,4,15.541448,7.6726537,0,370,Undifferentiated_KC
Sample_007_Region,21450-sample_1_lv_0046706_007,1,4.6310024,0.3616701,0,432,Undifferentiated_KC
Sample_007_Region,21451-sample_1_lv_0046706_007,6,12.340074,13.960215,0,491,Undifferentiated_KC
Sample_007_Region,21452-sample_1_lv_0046706_007,6,12.876259,15.349635,0,163,VE2
Sample_007_Region,21453-sample_1_lv_0046706_007,7,16.675259,11.82177,0,331,Undifferentiated_KC
Sample_007_Region,21454-sample_1_lv_0046706_007,7,15.649607,12.775814,0,341,Undifferentiated_KC
Sample_007_Region,21455-sample_1_lv_0046706_007,31,10.813996,-2.4194098,0,251,Undifferentiated_KC
Sample_007_Region,21456-sample_1_lv_0046706_007,29,3.593086,3.5765355,0,202,Undifferentiated_KC
Sample_007_Region,21457-sample_1_lv_0046706_007,24,9.325246,0.701624,0,121,Th
Sample_007_Region,21458-sample_1_lv_0046706_007,19,20.234812,13.867672,0,259,Mono_mac
Sample_007_Region,21459-sample_1_lv_0046706_007,6,13.03988,15.447251,0,313,Undifferentiated_KC
Sample_007_Region,21460-sample_1_lv_0046706_007,29,2.468096,3.2056696,0,343,Undifferentiated_KC
Sample_007_Region,21461-sample_1_lv_0046706_007,7,5.548104,8.707958,0,379,Undifferentiated_KC
Sample_007_Region,21462-sample_1_lv_0046706_007,20,16.174267,15.088588,0,204,Undifferentiated_KC
Sample_007_Region,21463-sample_1_lv_0046706_007,0,-3.1093118,6.8489957,0,296,Undifferentiated_KC
Sample_007_Region,21464-sample_1_lv_0046706_007,29,3.4220974,4.4310346,0,122,Undifferentiated_KC
Sample_007_Region,21465-sample_1_lv_0046706_007,29,3.94644,3.7814515,0,130,Undifferentiated_KC
Sample_007_Region,21466-sample_1_lv_0046706_007,0,-3.4511473,7.321671,0,82,Undifferentiated_KC
Sample_007_Region,21467-sample_1_lv_0046706_007,29,3.825079,3.6513195,0,311,Undifferentiated_KC
Sample_007_Region,21468-sample_1_lv_0046706_007,0,-4.1357694,7.3455563,0,117,Undifferentiated_KC
Sample_007_Region,21469-sample_1_lv_0046706_007,20,16.608128,15.242329,0,423,Undifferentiated_KC
Sample_007_Region,21470-sample_1_lv_0046706_007,0,-4.2615395,6.905522,0,231,Undifferentiated_KC
Sample_007_Region,21528-sample_1_lv_0046706_007,6,12.019364,13.987686,0,479,Undifferentiated_KC
Sample_007_Region,21531-sample_1_lv_0046706_007,29,2.471452,2.875894,0,257,Undifferentiated_KC
Sample_007_Region,21532-sample_1_lv_0046706_007,7,15.565751,12.518419,0,564,Mono_mac
Sample_007_Region,21533-sample_1_lv_0046706_007,7,15.425809,12.323145,0,268,Undifferentiated_KC
